,number,value,datetime_start,datetime_complete,duration,params_alpha,params_beta1,params_beta2,params_bidirectional,params_dropout,params_embed_dim,params_hidden_size,params_lr,params_momentum,params_num_layers,params_optimizer,params_weight_decay,state
25,25,0.003914419688930614,2026-04-12 19:25:53.072307,2026-04-12 19:25:57.553549,0 days 00:00:04.481242,,0.9097273207236669,0.9610766507086792,True,0.27953741571569557,128,64,0.003846750291874297,,1,Adam,1.0022417507626026e-05,PRUNED
26,26,0.009291418799893206,2026-04-12 19:25:57.562116,2026-04-12 19:25:59.855673,0 days 00:00:02.293557,,0.7606076467974513,0.9759047045793214,True,0.34112894912403463,128,64,0.0005616502731393746,,1,Adam,7.627929934911224e-05,PRUNED
27,27,0.10675833634083058,2026-04-12 19:25:59.864502,2026-04-12 19:26:03.073700,0 days 00:00:03.209198,,,,True,0.39984064767716254,128,64,0.009435227655617736,0.8964820191589722,2,SGD,2.4193456089857193e-05,PRUNED
28,28,0.013520819453113255,2026-04-12 19:26:03.082394,2026-04-12 19:26:07.432501,0 days 00:00:04.350107,,0.7509883102650231,0.9440543611644363,True,0.3683180784247691,64,128,0.0012866136125191457,,1,Adam,4.235877807958603e-05,PRUNED
29,29,0.004301470999493246,2026-04-12 19:26:07.442683,2026-04-12 19:26:13.920338,0 days 00:00:06.477655,,0.8167081417100991,0.9617686725046173,True,0.37993252160294105,128,64,0.0005583593187612217,,2,Adam,6.682849014616579e-05,PRUNED
30,30,0.16134971627004588,2026-04-12 19:26:13.930014,2026-04-12 19:26:16.032586,0 days 00:00:02.102572,,,,True,0.3430301750476435,128,32,0.0034043603507988873,0.006599639363594478,1,SGD,0.0001012540239379486,PRUNED
31,31,0.001763638376371763,2026-04-12 19:26:16.043362,2026-04-12 19:26:20.515644,0 days 00:00:04.472282,,0.7257709734377717,0.976737567633566,True,0.398394136126408,128,64,0.002238762881503546,,1,Adam,2.1572573101072156e-05,COMPLETE
32,32,0.0030926947384979277,2026-04-12 19:26:20.525438,2026-04-12 19:26:25.192392,0 days 00:00:04.666954,,0.7431213610004941,0.9833377725721757,True,0.36996919694024344,128,64,0.002162607843800649,,1,Adam,1.3777331135135715e-05,COMPLETE
33,33,0.002609502307619828,2026-04-12 19:26:25.203044,2026-04-12 19:26:29.742049,0 days 00:00:04.539005,,0.7409892319910804,0.9666663559853799,True,0.3726388965969409,128,64,0.0012775622614436836,,1,Adam,2.4840498921946467e-05,COMPLETE
34,34,0.0015723346159285509,2026-04-12 19:26:29.753903,2026-04-12 19:26:34.275787,0 days 00:00:04.521884,,0.8054818664442306,0.9856392822301109,True,0.32684737691194926,128,64,0.005796291605766127,,1,Adam,1.548800795410807e-05,COMPLETE
35,35,0.003101124626563589,2026-04-12 19:26:34.288910,2026-04-12 19:26:37.702864,0 days 00:00:03.413954,,0.7966210494953307,0.9861236228125644,True,0.32818779654931934,128,64,0.005732436344716855,,1,Adam,1.4838184307532787e-05,PRUNED
36,36,0.09773562868736732,2026-04-12 19:26:37.712421,2026-04-12 19:26:39.699915,0 days 00:00:01.987494,,0.8662116324270004,0.9848508428528551,False,0.2742460815273503,64,64,0.0042283682007463325,,1,Adam,1.9661637983305864e-05,PRUNED
37,37,0.0029978290438254594,2026-04-12 19:26:39.709635,2026-04-12 19:26:42.865679,0 days 00:00:03.156044,,0.7319016744862045,0.970163593908021,True,0.21935216112056313,32,16,0.002814810841565609,,1,Adam,1.1767288536063685e-05,PRUNED
38,38,0.003233237723782095,2026-04-12 19:26:42.874877,2026-04-12 19:26:46.726527,0 days 00:00:03.851650,,0.7994893494383503,0.9840371170970914,False,0.3840364155370164,128,128,0.0009273202048621925,,1,Adam,1.906473552525466e-05,PRUNED
39,39,0.014391034664319248,2026-04-12 19:26:46.735396,2026-04-12 19:26:49.153997,0 days 00:00:02.418601,,0.7775213442769116,0.9521489825301676,True,0.2938642112630001,64,64,0.0016085243723555909,,1,Adam,2.6816873648196252e-05,PRUNED
40,40,0.1377222803747578,2026-04-12 19:26:49.162906,2026-04-12 19:26:50.992350,0 days 00:00:01.829444,,,,False,0.3329859088697793,32,16,0.006619845288886552,0.5559739142308688,1,SGD,1.5811748764075097e-05,PRUNED
41,41,0.0059526556247109725,2026-04-12 19:26:51.001307,2026-04-12 19:26:54.317645,0 days 00:00:03.316338,,0.8465093067552056,0.9982850606549831,True,0.3596998060781916,128,64,0.0005560712565234331,,2,Adam,4.294122879553695e-05,PRUNED
42,42,0.002954907181441404,2026-04-12 19:26:54.325950,2026-04-12 19:26:57.748692,0 days 00:00:03.422742,,0.7255319501908597,0.9796792123288082,True,0.3813943716523929,128,64,0.004398222971292504,,1,Adam,1.3094231378627877e-05,PRUNED
43,43,0.2198416001287995,2026-04-12 19:26:57.757999,2026-04-12 19:27:01.001103,0 days 00:00:03.243104,0.8006532008094259,,,True,0.36166996121323214,128,64,1.0495615848862763e-05,,2,RMSprop,4.13498747929305e-05,PRUNED
44,44,0.12259383668090887,2026-04-12 19:27:01.011380,2026-04-12 19:27:03.237107,0 days 00:00:02.225727,,,,True,0.30541111206262417,128,64,0.007201908575107563,0.4553213121077285,1,SGD,2.789698082671738e-05,PRUNED
45,45,0.07153586153486732,2026-04-12 19:27:03.247124,2026-04-12 19:27:17.120115,0 days 00:00:13.872991,0.9114909271011065,,,True,0.38586288508521005,128,128,4.4757814519068375e-05,,3,RMSprop,6.704223848788227e-05,PRUNED
46,46,0.004147292772689122,2026-04-12 19:27:17.131789,2026-04-12 19:27:21.269824,0 days 00:00:04.138035,,0.7605067652320459,0.9907537729367766,False,0.35713951513836933,128,64,0.0028549342636640393,,1,Adam,2.1175871576181947e-05,PRUNED
47,47,0.02039234516890067,2026-04-12 19:27:21.280392,2026-04-12 19:27:23.957987,0 days 00:00:02.677595,0.9797957740400816,,,True,0.3216220417939297,32,32,0.001811508382919943,,2,RMSprop,3.916227786055785e-05,PRUNED
48,48,0.0050659465833765805,2026-04-12 19:27:23.967827,2026-04-12 19:27:26.984810,0 days 00:00:03.016983,,0.7265399644372567,0.9688654081957558,True,0.3999289741583092,128,16,0.0010896447088086225,,3,Adam,1.5854170023328154e-05,PRUNED
49,49,0.002946254271325421,2026-04-12 19:27:26.996349,2026-04-12 19:27:33.539456,0 days 00:00:06.543107,0.8430928927440289,,,True,0.24168341537758853,128,64,0.0004193700083974623,,2,RMSprop,3.3488844714931976e-05,COMPLETE
50,50,0.001805025663615759,2026-04-12 19:27:33.548839,2026-04-12 19:27:38.954699,0 days 00:00:05.405860,,0.7854912464726631,0.9542029202661629,True,0.10244307751249027,128,64,0.0007732588100425306,,1,Adam,2.3203611301448614e-05,COMPLETE
51,51,0.0027842652438220326,2026-04-12 19:27:38.964766,2026-04-12 19:27:42.961825,0 days 00:00:03.997059,,0.7922374006261751,0.9522266789407569,True,0.09193592104507425,128,64,0.0007541735131311683,,1,Adam,1.6817766615191238e-05,PRUNED
52,52,0.016144986015264016,2026-04-12 19:27:42.971487,2026-04-12 19:27:45.661507,0 days 00:00:02.690020,,0.8216275562494476,0.9354107044274211,True,0.12414156392521333,128,64,0.0007496225799597233,,1,Adam,2.214789725655899e-05,PRUNED
53,53,0.0068968409235080535,2026-04-12 19:27:45.672329,2026-04-12 19:27:48.275896,0 days 00:00:02.603567,,0.7628647607698574,0.9563891150544035,True,0.0380250020990377,128,64,0.0050101635157359286,,1,Adam,2.854906645814751e-05,PRUNED
54,54,0.0030439836848052634,2026-04-12 19:27:48.285321,2026-04-12 19:27:53.456040,0 days 00:00:05.170719,,0.8415112201693145,0.9129909437725143,True,0.1801183251599334,128,64,0.00025310465669317904,,1,Adam,1.1982003542286347e-05,COMPLETE
55,55,0.04089501985366557,2026-04-12 19:27:53.466377,2026-04-12 19:27:56.344748,0 days 00:00:02.878371,,0.7870714772854626,0.9706495051210277,True,0.38306604887708834,128,64,0.0033540576174477437,,1,Adam,0.00018094874197930295,PRUNED
56,56,0.024162623868175564,2026-04-12 19:27:56.356139,2026-04-12 19:27:58.916817,0 days 00:00:02.560678,0.9025004488424213,,,True,0.08729260722248984,64,64,0.00014211820843484664,,1,RMSprop,3.670538263941421e-05,PRUNED
57,57,0.024800555764217,2026-04-12 19:27:58.925971,2026-04-12 19:28:01.600515,0 days 00:00:02.674544,,0.7196266331570942,0.966472682018805,False,0.00336768040508377,128,32,0.000449841042573527,,3,Adam,5.8773477647239294e-05,PRUNED
58,58,0.12145023484518573,2026-04-12 19:28:01.611095,2026-04-12 19:28:04.017409,0 days 00:00:02.406314,,,,True,0.13901880591123472,32,64,0.007323088988727211,0.8667770239750284,1,SGD,1.784154394593481e-05,PRUNED
59,59,0.0048021277061301715,2026-04-12 19:28:04.027570,2026-04-12 19:28:08.650357,0 days 00:00:04.622787,,0.7470385037629899,0.922975501011868,True,0.3401755895870027,128,128,0.002101035463296606,,1,Adam,3.075296695452062e-05,PRUNED
60,60,0.0024440959383285705,2026-04-12 19:28:08.659554,2026-04-12 19:28:15.127049,0 days 00:00:06.467495,0.9526332984993675,,,True,0.35580639845611106,128,64,0.0012858201758769799,,2,RMSprop,2.2726381859548e-05,COMPLETE
61,61,0.004269962169743102,2026-04-12 19:28:15.138017,2026-04-12 19:28:17.633065,0 days 00:00:02.495048,,0.707169903569667,0.9017885877319199,True,0.3900229833889948,128,64,0.002360376912612403,,1,Adam,2.014425014195698e-05,PRUNED
